classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
950,Tetraedron,parallelepiped,c,hd*a,0.644444444,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),frontal,y
951,Trachelomonas,ellipsoid,see note,see note,,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),frontal,y
952,Tetraedron caudatum,parallelepiped,c,hd*a,0.4,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),frontal,y
953,Tetraedron trigonum,pyramid,see note,see note,,(1/3)*(l1*l2)*(sqrt((a1^2)-((l1/2)^2))),(l1*l2)+(l1*a1)+(l2*a2),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/6)*length^3,(pi*(length^2)),frontal,y
954,Tetraedron triangulare,parallelepiped,c,hd*a,0.4,a*b*c,((2*(a*b))+(2*(b*c))+(2*(a*c))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,length*width*c,((2*(length*width))+(2*(width*c))+(2*(length*c))),frontal,y
957,Acutodesmus acuminatus,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
959,Micromonas ,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
960,Scenedesmus,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
964,Desmodesmus flavescens,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
966,Desmodesmus bicaudatus,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
967,Desmodesmus communis,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
968,Desmodesmus armatus,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),frontal,y
970,Chlamydomonadaceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
971,Prymnesiaceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
975,Chlorophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
979,Chlamydomonas spp.,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
983,Astasiaceae,half ellipsoid+cone on elliptic base,c,hd*(h+h1),0.087037037,((pi/12)*b*c)*(h1+h),NA,0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*(h+h1),((pi/12)*width*c)*(((length-(length/3))+length/3)),NA,unique,y
985,Nephrocytium agardhianum,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
989,Parapedinella,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
990,Prasinophyceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
991,Pycnococcaceae,ellipsoid,c,hd*h,0.391176471,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
992,Mamiellaceae,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),unique,y
995,Pedinomonadaceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
997,Pterospermataceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),unique,y
